waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
0,72549.557337446,72549.779181154,0.0003888760111294687,10000,2500
1,72549.557437446,72550.080529335,0.22176597200450487,10000,2500
2,72549.55753744599,72550.301185445,0.5230066420190269,10000,2500
3,72549.55763744599,72550.601127915,0.743567477009492,10000,2500
4,72549.557737446,72550.865353615,1.0434143699967535,10000,2500
5,72549.55783744599,72551.142767,1.307528084013029,10000,2500
6,72549.55793744599,72551.394365014,1.5848410750040784,10000,2500
7,72549.558037446,72551.629883716,1.8363401600072393,10000,2500
8,72549.55813744599,72551.861514044,2.071759896018193,10000,2500
9,72549.55823744599,72552.136150986,2.3032904870051425,10000,2500
10,72549.558337446,72552.443086747,2.5778195320017403,10000,2500
11,72549.55843744599,72552.677163638,2.884662697018939,10000,2500
12,72549.55853744599,72552.923445951,3.118639296008041,10000,2500
13,72549.558637446,72553.180100137,3.3648203240009025,10000,2500
14,72549.55873744599,72553.460010098,3.6213689490105025,10000,2500
15,72549.55883744599,72553.805338333,3.90118852701562,10000,2500
16,72549.558937446,72554.122371538,4.246420805997332,10000,2500
17,72549.55903744599,72554.41563684,4.563339976011775,10000,2500
18,72549.55913744599,72554.674502962,4.856511751015205,10000,2500
19,72549.559237446,72554.929501664,5.1152860520087415,10000,2500
20,72549.55933744599,72555.455627673,5.37017258501146,10000,2500
21,72549.55943744599,72555.885153704,5.89619933400536,10000,2500
22,72549.559537446,72556.256999697,6.325627315003658,10000,2500
23,72549.55963744599,72556.574363144,6.697381284015137,10000,2500
24,72549.55973744599,72556.808084007,7.014638238004409,10000,2500
25,72549.559837446,72557.03197607,7.248261139000533,10000,2500
26,72549.559937446,72557.256049623,7.472050971002318,10000,2500
27,72549.56003744599,72557.550111777,7.6960254950099625,10000,2500
28,72549.560137446,72557.898927701,7.989990975998808,10000,2500
29,72549.560237446,72558.307723846,8.338704672001768,10000,2500
30,72549.56033744599,72558.579890977,8.74740378500428,10000,2500
31,72549.560437446,72558.861765727,9.019469837003271,10000,2500
32,72549.560537446,72559.074132006,9.301242860005004,10000,2500
33,72549.56063744599,72559.299020104,9.513502489004168,10000,2500
34,72549.560737446,72559.544463719,9.738306266008294,10000,2500
35,72549.560837446,72559.823350816,9.983638923004037,10000,2500
36,72549.56093744599,72560.283511287,10.262419373015291,10000,2500
37,72549.561037446,72560.546676348,10.722479841002496,10000,2500
38,72549.561137446,72560.778303208,10.985547201998997,10000,2500
39,72549.56123744599,72561.13598972,11.21707791001245,10000,2500
40,72549.561337446,72561.500488226,11.574659075005911,10000,2500
41,72549.561437446,72561.745482012,11.939073479006765,10000,2500
42,72549.56153744599,72562.088460515,12.183958351015463,10000,2500
43,72549.561637446,72562.300922219,12.526836872013519,10000,2500
44,72549.561737446,72562.52768082,12.739203332996112,10000,2500
45,72549.56183744599,72562.843177752,12.965850096006761,10000,2500
46,72549.561937446,72563.066120596,13.28125527400698,10000,2500
47,72549.562037446,72563.351888095,13.50409532400954,10000,2500
48,72549.56213744599,72563.846310165,13.789763094013324,10000,2500
49,72549.56223744599,72564.072144562,14.28408551501343,10000,2500
50,72549.562337446,72564.327006495,14.509820004997891,10000,2500
51,72549.56243744599,72564.841618562,14.764581803014153,10000,2500
52,72549.56253744599,72565.089211373,15.279099304010742,10000,2500
53,72549.562637446,72565.609042434,15.526587233005557,10000,2500
54,72549.56273744599,72565.83758694,16.04631099200924,10000,2500
55,72549.56283744599,72566.143147934,16.274759660009295,10000,2500
56,72549.562937446,72566.436485444,16.58022430400888,10000,2500
57,72549.56303744599,72566.725246438,16.8734602950135,10000,2500
58,72549.56313744599,72567.013261963,17.162121612011106,10000,2500
59,72549.563237446,72567.243690911,17.450035399000626,10000,2500
60,72549.56333744599,72567.518957469,17.68036688801658,10000,2500
61,72549.56343744599,72567.732698364,17.955535969013,10000,2500
62,72549.563537446,72567.976821816,18.16917207300139,10000,2500
